Shape Of You 
Uptown Funk 
Despacito 
Happy 
Party Rock Anthem 
Rolling In The Deep 
Perfect 
Somebody That I Used To Know 
Thinking Out Loud 
Radioactive 
Closer 
All Of Me 
Can't Stop The Feeling 
Cheap Thrills 
Call Me Maybe 
Counting Stars 
Wake Me Up 
Havana 
Someone Like You 
Blurred Lines 
Love Yourself 
Moves Like Jagger 
Rockstar 
One Dance 
Chandelier 
Sorry 
Lean On 
We Found Love 
All About That Bass 
Stay With Me 
Take Me To Church 
See You Again 
Shake It Off 
Don't Let Me Down 
Cheerleader 
Dark Horse 
Thrift Shop 
God's Plan 
Give Me Everything 
Let Her Go 
The Hills 
Stressed Out 
That's What I Like 
Stitches 
Ho Hey 
Sexy And I Know It 
Get Lucky 
Thunder 
We Are Young 
Can't Feel My Face 
Trap Queen 
Hello 
Diamonds 
Locked Out Of Heaven 
What Do You Mean? 
Something Just Like This 
Unforgettable 
Just The Way You Are (Amazing) 
Gangnam Style 
Can't Hold Us 
Pompeii 
Timber 
Titanium 
Shut Up & Dance 
New Rules 
Set Fire To The Rain 
Starboy 
Heathens 
Royals 
Roar 
Seven Years 
Believer 
Say You Won't Let Go 
Sugar 
Firework 
Love Me Like You Do 
Let Me Love You 
Work 
Meant To Be 
This Is What You Came For 
I Took A Pill In Ibiza 
Just Give Me A Reason 
Rather Be 
On The Floor 
Dynamite 
Demons 
Hotline Bling 
Rude 
Grenade 
24K Magic 
Love The Way You Lie 
Some Nights 
Good Feeling 
Panda 
Attention 
One More Night 
Want To Want Me 
Blank Space 
Earned It (Fifty Shades Of Grey) 
Cake By The Ocean
